fitnessId,exercise,weight130,weight155,weight180,weight205,calories,createdAt,updatedAt
153,"Climbing hills carrying 10 to 20 lb",443,528,613,698,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
154,"Climbing hills carrying 21 to 42 lb",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
155,"Climbing hills carrying over 42 lb",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
156,"Walking downstairs",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
157,"Hiking cross country",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
158,"Bird watching",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
159,"Marching rapidly military",384,457,531,605,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
160,"Children's games hopscotch dodgeball",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
161,"Pushing stroller or walking with children",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
162,"Pushing a wheelchair",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
163,"Race walking",384,457,531,605,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
164,"Rock climbing mountain climbing",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
165,"Walking using crutches",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
166,"Walking the dog",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
167,"Walking under 2.0 mph very slow",118,141,163,186,0,"2020-11-05 00:37:47","2020-11-05 00:37:47"
168,"Walking 2.0 mph slow",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
169,"Walking 2.5 mph",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
170,"Walking 3.0 mph moderate",195,232,270,307,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
171,"Walking 3.5 mph brisk pace",224,267,311,354,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
172,"Walking 3.5 mph uphill",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
173,"Walking 4.0 mph very brisk",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
